id,SAMPLE_1,X,Y,angulo
0,518,686724.8112241384,7643578.569784919,63.15836571708152
1,516,686632.276195218,7644005.19244718,92.14226092084856
2,513,686943.4731921902,7643383.312213046,349.3837273793671
3,517,686355.779706464,7643505.083254234,167.24060107851037
4,498,686133.8983167071,7642867.735380986,227.64434828608958
5,505,686462.0892321697,7643033.757149016,244.64311071018682
6,507,685895.8913535168,7643649.612681636,164.37056921970427
7,513,686501.6480792618,7644136.430815446,102.26099040788016
8,490,686468.0270117947,7642661.49179348,256.56029109311544
9,498,686104.5637501098,7642928.475811741,222.84838456073427
10,507,686891.9378806481,7643105.938990598,305.70728886123413
11,507,687122.1449398656,7643423.51266886,358.27045951567425
12,501,686693.9053669157,7642905.373502794,274.3403039243079
13,511,686752.7872875617,7643178.603814135,290.96874870455696
14,519,686749.5759723339,7643803.43441609,75.28358382026057
15,502,686686.2854501287,7642939.167201777,273.7621955372737
16,496,686410.3618088571,7642846.251412635,247.6512390391444
17,514,686432.2674828166,7644038.713253511,110.20797144195888
18,505,686855.9902519459,7643086.015188469,299.93400982354456
19,518,686656.580948126,7643792.071349347,89.5028521302818
20,501,686065.6654380929,7643025.627101317,215.02785806267457
21,517,686705.4380514555,7643521.655468816,58.271482929698955
22,510,686220.991161369,7644097.103736154,123.26011778887369
23,515,686405.2952796031,7643889.916663015,118.7593282044398
24,506,686455.9061660672,7643050.360087469,242.96962960235976
25,496,686858.8705435336,7642767.608740801,287.03976062462505
26,503,686843.4071031988,7642963.355708186,291.8199756214908
27,491,687150.6529948123,7642848.729967848,310.1693347396488
28,496,686260.3304335888,7642888.398500861,234.4041211314841
29,496,687303.106936871,7643196.039944958,339.5969842545059
30,516,686268.5314830384,7643718.430712435,143.89618388696786
31,494,686951.0896188447,7642889.461597061,298.4947213919826
32,505,685935.328949493,7643132.814019426,203.0000960580079
33,510,686181.6923607133,7643323.846570115,193.5624978740562
34,512,686749.886071138,7643218.254296918,293.714556468286
35,500,686888.179094124,7642931.6794095365,294.88168413541814
36,512,686865.4087770915,7643313.02282261,329.5361196811787
37,510,685941.600060607,7643605.494780953,166.73476102449203
38,516,686767.0236450043,7643431.725059263,357.0054806923707
39,512,686754.118088709,7644178.514695939,82.26617922649727
40,499,686360.0166350582,7642896.20826736,241.54063820027721
41,508,687244.9867491542,7643928.069567583,39.6626584214521
42,506,685965.7617601365,7643197.236357485,199.26901381035074
43,496,687039.8354085194,7642942.44084864,307.95826635464704
44,491,687136.5969383797,7642880.988245918,310.9519452532495
45,516,686736.5195601797,7643901.02109812,79.8428100428395
46,515,686907.3226583971,7643544.479523395,22.823268654447947
47,510,686857.540490339,7644128.147558349,73.53784184531179
48,497,687259.2619785016,7643119.826769278,332.31427690493507
49,511,686627.764580637,7644165.485005159,92.02555701783837
50,502,686368.1953269979,7642964.322850477,238.92013959166712
51,509,686551.8189628558,7643138.364020137,251.23484255787815
52,510,686903.7730435112,7644168.697432151,71.10151329114018
53,514,686210.8994904947,7643766.912419216,143.3549198246517
54,512,687057.5540155832,7643705.887508772,33.57786619439242
55,513,686627.0962965743,7643248.630866852,262.0467789750041
56,503,686792.7016180358,7642987.151004193,287.16970591328584
57,508,687279.7295378811,7643925.727850629,37.932032111910154
58,498,687190.5394774332,7643228.89808831,338.75701594446093
59,513,686966.9917005862,7643443.614131266,1.087484788919528
60,516,686538.722838678,7643430.746303424,183.44860952319485
61,513,686167.360673842,7643397.179253007,184.7603706254425
62,513,686259.7542790303,7643884.2409601165,131.40291310927236
63,520,686332.1863222674,7643690.4078906365,141.81199812997573
64,514,686880.6674730543,7643641.638880689,41.92163771711231
65,506,686225.1621115392,7643222.69965753,206.6497322729217
66,512,687067.582206563,7643905.499682094,48.48833026659204
67,515,686203.247362786,7643681.551728124,151.5572296395355
68,498,687381.0855195967,7643548.727647794,8.6791386041943
69,497,687348.9342032855,7643409.690326352,357.6965638576783
70,512,686982.2790478604,7643392.185761333,352.12452626597246
71,494,686760.7492206487,7642766.0908774715,279.07296484963103
72,519,686703.648893835,7643874.9136338,83.45798805281639
73,495,686192.5133585536,7642843.130153689,232.21052446652885
74,513,686527.7524426517,7644085.21314772,100.98996939806786
75,493,686670.2685624575,7642698.489537392,271.2991199734832
76,515,686606.6677665417,7643301.937225846,250.96087820836243
77,512,687103.8841533738,7643937.924355599,48.003704278961955
78,514,686329.2670014721,7643436.8906529015,180.13654961283743
79,518,686695.6833072315,7643612.208769134,76.4153151701446
80,506,686482.8770786205,7643059.197620735,245.73210108793063
81,515,686225.8361149924,7643649.917026154,153.6046653590639
82,491,686581.4821625855,7642642.597184499,264.823810837941
83,517,686444.2157170986,7643423.962291689,183.74550492380314
84,503,686777.5956504982,7643015.092718002,286.3651323921906
85,517,686689.2424458144,7643553.04636876,72.79106058263126
86,500,686043.2821425417,7642982.80520485,216.70069722519796
87,510,685944.752586001,7643433.990281933,180.29693256592168
88,491,686974.1562067495,7642761.136998295,295.3593595193169
89,496,687347.3323349732,7643320.1531492,350.3872952497439
90,515,686831.3124124721,7643740.021766075,59.54166003879658
91,505,687301.2213907086,7643686.388212367,21.00694374519632
92,513,686601.097598727,7643175.286482115,258.70419117173833
93,510,686173.6739900808,7643999.018965908,130.52293657014204
94,513,686748.6794560531,7644092.144801199,81.72612696844358
95,515,686174.6091434414,7643625.4963300945,158.583882656993
96,508,686176.8740364502,7643249.66230798,201.52610175184287
97,494,687386.0008787613,7643280.4623826835,347.88746283062494
98,514,686614.6895930691,7644006.626608804,93.9028172680725
99,508,687027.1086946155,7643300.342397905,339.81866073185745
100,506,687291.2494354254,7643781.128620359,28.305266317018905
101,507,686062.5821436875,7643893.1113012945,142.3771531497887
102,509,687033.4407659476,7643451.025652493,2.014253871161396
103,498,687289.5816793233,7643288.136499812,346.7712624370937
104,498,687378.3112521102,7643510.485654326,5.737336411369555
105,499,687339.4469697293,7643517.819267808,6.665087918405835
106,513,686947.7299850379,7643826.6463151965,52.89636536966937
107,509,685885.9002377982,7643425.5958186705,180.9006763883074
108,506,686185.923538414,7643212.822511102,205.68097156622957
109,515,686354.1531389166,7643459.676057485,175.79436789188654
110,495,686223.8991746381,7642842.128280014,234.194109808365
111,509,687076.0349142906,7643489.039148733,6.9326210927583825
112,516,686864.7224278618,7643514.391811688,19.964498895092017
113,518,686660.0715751502,7643671.726570475,88.39318104586309
114,516,686921.8695262974,7643752.960880228,49.59740637779635
115,513,686191.7251097881,7643826.159878303,139.9260648671878
116,495,686414.4839271208,7642780.353385469,250.0168956274052
117,511,685914.9203869123,7643526.162747231,173.16723614161305
118,509,686778.5444451446,7643158.827472885,294.15295226198833
119,501,687319.7331378096,7643520.201199469,7.062294051427696
120,516,686745.4762051377,7643400.366573426,337.9259541265738
121,518,686713.992710149,7643641.929999104,73.50503767569205
122,517,686720.6175690554,7643709.897034248,76.15140913362016
123,507,686802.6036202188,7643114.613894931,294.7748673873849
124,502,687155.1951765259,7643278.814082231,342.43071514443324
125,517,686673.5666350006,7643634.242897396,84.17314401162213
126,510,686460.4652030962,7643155.590731134,235.61364662418094
127,498,686759.0143721108,7642888.848796412,280.88224330436185
128,493,687022.7131093832,7642909.880848278,304.9745017894573
129,513,686311.68677685,7643439.30808041,179.7243192257031
130,512,686296.6900808429,7643315.239644725,198.9371380124341
131,516,686333.2750492984,7643600.792911225,153.00513630949715
132,515,686715.1948840439,7643326.399156173,299.005668244228
133,501,687085.4740383696,7643088.292684971,321.03449037837765
134,503,687319.9117495854,7643642.455127804,17.08259864121469
135,498,687261.0252378392,7643159.546733886,335.40214355277675
136,516,686691.8169869717,7643355.435439742,294.981534890543
137,511,686687.2353784762,7643199.073873593,278.0466428783259
138,493,686799.5723494949,7642751.561955827,282.0184767962462
139,515,686171.4825814329,7643690.177828296,152.351587986534
140,511,686784.5961973036,7643212.018905703,300.15488487267993
141,495,686794.2501836936,7642790.155177017,282.2632365989791
142,518,686506.8003001556,7643612.141391271,130.0579538035234
143,497,687345.0037957751,7643461.724323519,1.9928237724675317
144,507,686643.2904381662,7643096.619269854,268.284334599074
145,511,686045.4446210442,7643691.609728892,157.3329784118567
146,508,686907.528294586,7643145.952770331,311.0494558714585
147,491,687204.3047551188,7642945.552627354,318.22084172466816
148,516,686418.3379991608,7643423.5913829915,183.42439235189164
149,512,686577.2691292318,7644165.428004416,95.98017776433997
150,494,687082.9498662238,7642919.529791324,309.65292362139286
151,513,686915.9042343054,7643654.016273916,39.50627080515409
152,514,686085.4578808971,7643496.219181023,174.11459552487275
153,516,686683.0713726782,7643338.314936088,286.572767685312
154,510,686133.3694148839,7643307.392958764,194.06074540949334
155,504,685990.4029316541,7643174.713056662,201.63057193324806
156,509,687147.5806761718,7643654.666236428,23.711579157613663
157,508,685896.5675376477,7643593.263142595,168.38382870208952
158,517,686294.9713079312,7643642.935871924,150.20747526837587
159,513,686919.2729991024,7644104.312802343,68.26474636941178
160,495,687107.6994884032,7643003.14214906,316.26808767942475
161,518,686402.0412022631,7643545.088090694,156.8680085051555
162,497,687319.6689943766,7643344.09676326,352.00476648987643
163,517,686698.5268265258,7643423.478851874,342.5122235780413
164,513,686618.6283460516,7643210.003623243,261.2900323707577
165,512,686433.0848184221,7643319.433409012,208.2083443042983
166,513,686345.0086298938,7644068.583866471,116.05694600326999
167,512,687051.6769173732,7643636.490304108,26.53526386568516
168,516,686842.8617653926,7643441.138299887,1.0513271142494582
169,515,686610.5090993366,7643351.895858872,243.3746683262312
170,501,686029.2931876248,7643015.335406469,214.08138697367818
171,496,687297.1510584892,7643103.067218472,332.5325339131048
172,515,686972.9518966374,7643905.838254026,55.69340765879367
173,491,687031.5811759083,7642777.338860395,299.79372906683454
174,513,686772.1070785484,7643287.016662521,308.212698088935
175,492,686991.2782419348,7642881.128002145,301.25440580098007
176,504,686956.921313566,7643101.153406274,312.0395286955064
177,492,687258.0154277012,7642979.141296716,322.819593631672
178,516,686335.4771483517,7643581.048793245,155.73143527075896
179,514,686122.2369855597,7643687.822005818,154.78565166113097
180,513,686215.8923667502,7643793.828751961,140.85849885284645
181,517,686279.208837698,7643810.542146024,135.10874651204537
182,513,686751.5795587426,7643261.842465189,299.15300801462996
183,515,686635.5495543776,7643355.719192071,257.6403143620305
184,507,686724.1852452648,7643062.071199154,280.6573748954721
185,504,686497.6412558213,7643041.1931642005,248.5387061741506
186,516,686217.6541744933,7643492.022307428,172.89084369388203
187,504,687351.1172702663,7643753.78360633,24.37748932288694
188,515,686610.1573094692,7643930.179925964,95.02987655245028
189,503,686439.1173972945,7642985.314768682,244.64162616965234
190,516,686263.838278664,7643738.500780264,142.33055836235727
191,509,686826.3925404814,7644106.082385874,75.4982392553463
192,514,686119.6290889699,7643473.959036207,176.1107267751653
193,518,686834.3465400223,7643562.342086571,34.58388984273057
194,512,685949.5308720039,7643518.815185977,173.42416567662752
195,514,686727.4062206413,7643280.497714687,295.1832674237139
196,502,686054.5898740574,7643065.501428252,211.85651825099796
197,506,685990.5872552819,7643856.516042183,147.71402017343925
198,495,686187.9072431234,7642865.923151808,230.84224202448127
199,517,686710.946748335,7643402.27588269,328.36415619150796
200,508,686183.5557402591,7644051.889110333,127.41994899402286
201,514,686922.3998669235,7643799.222488031,53.36154821238021
202,507,687153.7158986727,7643581.734217638,16.067489231793427
203,508,687233.3042386816,7643885.547419429,37.68544696092936
204,499,686747.1303677895,7642842.950575948,278.9465518068017
205,510,685965.0213843572,7643563.4590404015,169.64548364375543
206,513,686764.861374572,7644131.985157013,80.88846886193541
207,512,686242.350512683,7643998.697448407,126.23591818376558
208,507,687141.5851688709,7643503.724059441,7.708039181084787
209,502,685947.3513623808,7643065.676548689,207.779291518282
210,513,686193.7848975837,7643402.071690292,184.42702286002395
211,501,686284.3825048845,7643048.387266613,226.522159936064
212,506,686741.5466539725,7643070.418640377,283.4813041152654
213,516,686780.6310726306,7643679.035591522,62.225224251124004
214,494,687008.1491392701,7642908.045919979,303.807127936259
215,506,687099.3337895202,7643440.661123537,0.38524875909164025
216,499,687075.1252983054,7643038.233508624,316.5480996516702
217,517,686656.2532178228,7643491.229059775,87.06375006033903
218,515,686902.9415514402,7643774.900489825,53.5116931822066
219,512,686988.1857343352,7643529.151374919,15.288832685924694
220,499,686961.0806266946,7642991.22503747,304.5650036682806
221,513,687040.1892222302,7643685.453119192,32.65205732816505
222,511,686450.4082373786,7643265.100756464,220.3530334280647
223,494,687086.7074369903,7642947.664962127,311.47951129974473
224,509,687279.5694854322,7643867.366469353,34.46401854787857
225,516,686368.0760499098,7643465.135476468,174.5023206645193
226,518,686504.7734921532,7643622.004962255,128.89761539705768
227,516,686564.1227935042,7643926.6963316435,100.35789708583228
228,515,686954.575402554,7643874.789923612,55.44298042243424
229,519,686681.1931773345,7643785.268559893,85.44588971544434
230,503,686205.8852467627,7643069.978818789,219.4003800377617
231,504,686099.4616243881,7643090.917108635,212.04022663891027
232,516,686307.8955800438,7643528.284752762,165.30740864729907
233,512,686184.4891789879,7643888.704185102,136.11928192924222
234,507,687239.0476043936,7643822.583012058,33.31985239691478
235,513,686479.3328512161,7644115.551362064,104.40957995574765
236,511,685993.3454200323,7643433.968173391,180.32070738849742
237,503,686196.899561208,7643062.577478613,219.4019021398161
238,493,686296.3264071314,7642766.567816496,241.97661182245798
239,521,686394.7362361265,7643725.842808437,131.92211880482316
240,501,686561.1836881078,7642924.594016838,259.7993206387402
241,512,687109.0931209114,7643947.6188718965,48.222824687577855
242,512,687034.5223724465,7643827.1936471,45.633022588014356
243,504,686731.6633588205,7643027.961571577,280.80038272272327
244,515,686866.147634883,7643767.917412906,57.22357556901465
245,511,686290.1588885641,7644038.9656636445,121.14316361617765
246,507,687068.6925794726,7643334.321105718,346.02279380567654
247,492,687441.6319406576,7643317.048174319,351.2989373104183
248,515,686314.8614277759,7643468.610405975,174.77852747976286
249,517,686550.4263238561,7643581.725134969,125.58456727204566
250,505,686303.5610362052,7643146.105304544,219.79953321127866
